"id","date","x_coord","y_coord","hired"
10218,"2013-03-02 00:08:26",18.2046718597412,59.2953567504883,t
11593,"2013-03-05 15:44:55",17.9132614135742,59.6235504150391,t
11412,"2013-03-02 00:08:47",17.9374141693115,59.2880706787109,f
11292,"2013-03-08 18:30:03",17.8842163085938,59.3983917236328,f
10373,"2013-03-08 18:29:36",18.0617942810059,59.3350715637207,t
10325,"2013-03-05 15:44:47",17.919490814209,59.6271362304688,t
10499,"2013-03-02 00:09:00",18.0665626525879,59.2733268737793,f
10474,"2013-03-02 00:08:02",18.0404396057129,59.3519668579102,f
11415,"2013-03-02 00:08:48",18.0319862365723,59.3335647583008,f
11288,"2013-03-02 00:08:50",17.933219909668,59.411376953125,f
11397,"2013-03-02 00:08:54",18.0758419036865,59.3398780822754,f
11013,"2013-03-05 15:44:54",18.0881729125977,59.2688789367676,f
10497,"2013-03-02 00:08:01",18.1358394622803,59.3663558959961,t
10216,"2013-03-02 00:08:16",18.167236328125,59.311393737793,f
11381,"2013-03-02 00:08:47",18.0732364654541,59.3292922973633,f
10333,"2013-03-05 15:45:36",17.9209537506104,59.4455680847168,t
10490,"2013-03-02 00:08:18",18.1094627380371,59.2863845825195,t
11596,"2013-03-05 15:45:22",18.0558204650879,59.3305130004883,t
11380,"2013-03-02 00:08:31",17.919490814209,59.4114151000977,f
10215,"2013-03-02 00:08:00",18.0733623504639,59.3349609375,t
10363,"2013-03-08 18:30:11",18.0675163269043,59.3222961425781,t
11545,"2013-03-08 18:29:43",18.0433006286621,59.3847579956055,f
11414,"2013-03-02 00:08:03",18.0745067596436,59.3116073608398,f
10326,"2013-03-05 15:45:18",18.0725364685059,59.336254119873,t
10022,"2013-03-02 00:08:56",18.0630035400391,59.3288612365723,f
11416,"2013-03-02 00:08:57",17.9219055175781,59.3759346008301,f
10322,"2013-03-05 15:45:22",18.0049114227295,59.3399124145508,t
10024,"2013-03-05 15:44:36",17.9595317840576,59.3794860839844,f
10214,"2013-03-02 00:08:04",18.1033611297607,59.3024940490723,t
10248,"2013-03-05 15:44:37",18.0516891479492,59.3332405090332,t
10316,"2013-03-05 15:44:58",17.8855514526367,59.3786239624023,f
10164,"2013-03-05 15:45:04",17.8670558929443,59.4749870300293,t
11613,"2013-03-02 00:08:18",18.0406303405762,59.3167037963867,t
10246,"2013-03-05 15:44:53",17.8971824645996,59.5997657775879,t
